--- 1D FFT Log Data ---
RADAR_ANT_COUNT: 2
RADAR_CHIRP_COUNT: 64
RADAR_CHIRP_POINTS: 128
------------------------

Ant 0 / Chirp 1 FFT Results:
  Point 107: R=-6.03, I=67.33, Magnitude=67.60
  Point 108: R=56.38, I=525.02, Magnitude=528.03
  Point 109: R=-131.07, I=-454.92, Magnitude=473.43
  Point 110: R=-85.91, I=17.37, Magnitude=87.65
  Point 111: R=116.94, I=-61.05, Magnitude=131.92
  Point 112: R=211.60, I=-46.05, Magnitude=216.55
  Point 113: R=26.68, I=-190.95, Magnitude=192.81
  Point 114: R=86.25, I=52.85, Magnitude=101.15
  Point 115: R=45.90, I=10.57, Magnitude=47.10
  Point 116: R=3.47, I=-60.89, Magnitude=60.99
  Point 117: R=21.87, I=66.91, Magnitude=70.39
  Point 118: R=24.68, I=48.82, Magnitude=54.70
  Point 119: R=10.36, I=-101.45, Magnitude=101.98
  Point 120: R=30.93, I=7.72, Magnitude=31.88
  Point 121: R=35.74, I=-63.25, Magnitude=72.65
  Point 122: R=85.03, I=72.15, Magnitude=111.51
  Point 123: R=80.15, I=34.32, Magnitude=87.19
  Point 124: R=9.61, I=-80.66, Magnitude=81.23
  Point 125: R=133.12, I=-120.28, Magnitude=179.41
  Point 126: R=-192.23, I=84.07, Magnitude=209.81
  Point 127: R=-248.52, I=88.16, Magnitude=263.70

Ant 1 / Chirp 1 FFT Results:
  Point 0: R=2272.00, I=0.00, Magnitude=2272.00
  Point 1: R=-226.94, I=-71.59, Magnitude=237.97
  Point 2: R=-207.37, I=-82.00, Magnitude=222.99
  Point 3: R=75.74, I=104.21, Magnitude=128.82
  Point 4: R=10.67, I=65.50, Magnitude=66.37
  Point 5: R=19.80, I=-42.75, Magnitude=47.12
  Point 6: R=77.91, I=-62.27, Magnitude=99.74
  Point 7: R=19.41, I=64.28, Magnitude=67.15
  Point 8: R=29.34, I=-53.08, Magnitude=60.65
  Point 9: R=79.81, I=40.67, Magnitude=89.57
  Point 10: R=86.32, I=-96.35, Magnitude=129.36
  Point 11: R=81.58, I=-61.34, Magnitude=102.07
  Point 12: R=-32.15, I=-92.32, Magnitude=97.76
  Point 13: R=109.34, I=6.57, Magnitude=109.53
  Point 14: R=177.02, I=-80.06, Magnitude=194.29
  Point 15: R=-107.29, I=157.83, Magnitude=190.84
  Point 16: R=163.98, I=49.31, Magnitude=171.24
  Point 17: R=59.56, I=76.69, Magnitude=97.10
  Point 18: R=-43.16, I=24.84, Magnitude=49.80
  Point 19: R=-234.48, I=425.53, Magnitude=485.86
  Point 20: R=-33.62, I=-520.43, Magnitude=521.51
  Point 21: R=17.06, I=-124.81, Magnitude=125.97
  Point 22: R=96.36, I=16.27, Magnitude=97.73
  Point 23: R=223.36, I=-127.23, Magnitude=257.05
  Point 24: R=78.03, I=-276.78, Magnitude=287.57
  Point 25: R=131.43, I=-71.71, Magnitude=149.72
  Point 26: R=7.44, I=24.33, Magnitude=25.44
  Point 27: R=81.66, I=132.96, Magnitude=156.03
  Point 28: R=-48.27, I=67.96, Magnitude=83.36
  Point 29: R=2.26, I=70.69, Magnitude=70.73
  Point 30: R=79.44, I=-6.64, Magnitude=79.72
  Point 31: R=-58.99, I=23.76, Magnitude=63.60
  Point 32: R=30.00, I=60.00, Magnitude=67.08
  Point 33: R=92.59, I=-54.01, Magnitude=107.19
  Point 34: R=28.85, I=53.09, Magnitude=60.42
  Point 35: R=-186.51, I=-3.51, Magnitude=186.54
  Point 36: R=6.26, I=-75.78, Magnitude=76.04
  Point 37: R=55.16, I=48.80, Magnitude=73.65
  Point 38: R=148.84, I=576.87, Magnitude=595.76
  Point 39: R=4.54, I=-189.00, Magnitude=189.05
  Point 40: R=-73.00, I=14.24, Magnitude=74.38
  Point 41: R=61.94, I=9.27, Magnitude=62.63
  Point 42: R=-7.75, I=12.69, Magnitude=14.87
  Point 43: R=14.71, I=-42.22, Magnitude=44.71
  Point 44: R=15.48, I=-81.69, Magnitude=83.14
  Point 45: R=44.41, I=-15.61, Magnitude=47.08
  Point 46: R=-35.55, I=72.72, Magnitude=80.94
  Point 47: R=2.49, I=-43.43, Magnitude=43.50
  Point 48: R=48.02, I=-26.69, Magnitude=54.93
  Point 49: R=-14.86, I=-14.44, Magnitude=20.72
  Point 50: R=-5.15, I=-23.45, Magnitude=24.00
  Point 51: R=37.47, I=7.89, Magnitude=38.29
  Point 52: R=-31.45, I=23.82, Magnitude=39.45
  Point 53: R=-40.52, I=38.05, Magnitude=55.59
  Point 54: R=21.21, I=-46.99, Magnitude=51.55
  Point 55: R=27.08, I=1.22, Magnitude=27.10
  Point 56: R=9.63, I=17.94, Magnitude=20.36
  Point 57: R=104.54, I=-32.88, Magnitude=109.59
  Point 58: R=-63.38, I=-21.00, Magnitude=66.76
  Point 59: R=-39.06, I=-7.57, Magnitude=39.78
  Point 60: R=57.07, I=-32.84, Magnitude=65.84
  Point 61: R=4.35, I=8.85, Magnitude=9.86
  Point 62: R=-57.04, I=30.26, Magnitude=64.57
  Point 63: R=6.38, I=-27.59, Magnitude=28.31
  Point 64: R=-12.00, I=0.00, Magnitude=12.00
  Point 65: R=6.38, I=27.59, Magnitude=28.31
  Point 66: R=-57.04, I=-30.26, Magnitude=64.57
  Point 67: R=4.35, I=-8.85, Magnitude=9.86
