Ant 0 / Chirp 22 / Point 1 (Raw: 7, Parsed: 7)
Ant 0 / Chirp 23 / Point 1 (Raw: 21, Parsed: 5)
Ant 0 / Chirp 24 / Point 1 (Raw: 6, Parsed: 14)
Ant 0 / Chirp 25 / Point 1 (Raw: 24, Parsed: 2)
Ant 0 / Chirp 26 / Point 1 (Raw: 6, Parsed: 3)
Ant 0 / Chirp 27 / Point 1 (Raw: 23, Parsed: 7)
Ant 0 / Chirp 28 / Point 1 (Raw: 10, Parsed: 4)
Ant 0 / Chirp 29 / Point 1 (Raw: 34, Parsed: 3)
Ant 0 / Chirp 30 / Point 1 (Raw: 3, Parsed: 2)
Ant 0 / Chirp 31 / Point 1 (Raw: 24, Parsed: 10)
Ant 0 / Chirp 32 / Point 1 (Raw: 4, Parsed: 3)
Ant 0 / Chirp 33 / Point 1 (Raw: 28, Parsed: 5)
Ant 0 / Chirp 34 / Point 1 (Raw: 4, Parsed: 2)
Ant 0 / Chirp 35 / Point 1 (Raw: 22, Parsed: 5)
Ant 0 / Chirp 36 / Point 1 (Raw: 6, Parsed: -1)
Ant 0 / Chirp 37 / Point 1 (Raw: 29, Parsed: 5)
Ant 0 / Chirp 38 / Point 1 (Raw: 1, Parsed: 7)
Ant 0 / Chirp 39 / Point 1 (Raw: 24, Parsed: 10)
Ant 0 / Chirp 40 / Point 1 (Raw: 8, Parsed: -1)
Ant 0 / Chirp 41 / Point 1 (Raw: 28, Parsed: 7)
Ant 0 / Chirp 42 / Point 1 (Raw: 2, Parsed: 3)
Ant 0 / Chirp 43 / Point 1 (Raw: 28, Parsed: 2)
Ant 0 / Chirp 44 / Point 1 (Raw: 7, Parsed: 0)
Ant 0 / Chirp 45 / Point 1 (Raw: 24, Parsed: 2)
Ant 0 / Chirp 46 / Point 1 (Raw: 5, Parsed: 6)
Ant 0 / Chirp 47 / Point 1 (Raw: 20, Parsed: 6)
Ant 0 / Chirp 48 / Point 1 (Raw: 14, Parsed: 2)
Ant 0 / Chirp 49 / Point 1 (Raw: 24, Parsed: 4)
Ant 0 / Chirp 50 / Point 1 (Raw: 2, Parsed: 7)
Ant 0 / Chirp 51 / Point 1 (Raw: 25, Parsed: 3)
Ant 0 / Chirp 52 / Point 1 (Raw: 3, Parsed: 8)
Ant 0 / Chirp 53 / Point 1 (Raw: 20, Parsed: 1)
Ant 0 / Chirp 54 / Point 1 (Raw: 7, Parsed: 3)
Ant 0 / Chirp 55 / Point 1 (Raw: 24, Parsed: 4)
Ant 0 / Chirp 56 / Point 1 (Raw: 4, Parsed: -2)
Ant 0 / Chirp 57 / Point 1 (Raw: 31, Parsed: 7)
Ant 0 / Chirp 58 / Point 1 (Raw: 3, Parsed: 5)
Ant 0 / Chirp 59 / Point 1 (Raw: 24, Parsed: 3)
Ant 0 / Chirp 60 / Point 1 (Raw: 2, Parsed: 0)
Ant 0 / Chirp 61 / Point 1 (Raw: 30, Parsed: 7)
Ant 0 / Chirp 62 / Point 1 (Raw: 10, Parsed: 2)
Ant 0 / Chirp 63 / Point 1 (Raw: 26, Parsed: 5)
Ant 0 / Chirp 0 / Point 2 (Raw: 237, Parsed: -19)
Ant 0 / Chirp 1 / Point 2 (Raw: 11, Parsed: -14)
Ant 0 / Chirp 2 / Point 2 (Raw: 242, Parsed: -19)
Ant 0 / Chirp 3 / Point 2 (Raw: 23, Parsed: -18)
Ant 0 / Chirp 4 / Point 2 (Raw: 237, Parsed: -14)
Ant 0 / Chirp 5 / Point 2 (Raw: 17, Parsed: -9)
Ant 0 / Chirp 6 / Point 2 (Raw: 238, Parsed: -14)
Ant 0 / Chirp 7 / Point 2 (Raw: 25, Parsed: -15)
Ant 0 / Chirp 8 / Point 2 (Raw: 242, Parsed: -14)
Ant 0 / Chirp 9 / Point 2 (Raw: 16, Parsed: -13)
Ant 0 / Chirp 10 / Point 2 (Raw: 247, Parsed: -15)
Ant 0 / Chirp 11 / Point 2 (Raw: 24, Parsed: -10)
Ant 0 / Chirp 12 / Point 2 (Raw: 242, Parsed: -19)
Ant 0 / Chirp 13 / Point 2 (Raw: 18, Parsed: -10)
Ant 0 / Chirp 14 / Point 2 (Raw: 241, Parsed: -13)
Ant 0 / Chirp 15 / Point 2 (Raw: 17, Parsed: -20)
Ant 0 / Chirp 16 / Point 2 (Raw: 242, Parsed: -15)
Ant 0 / Chirp 17 / Point 2 (Raw: 13, Parsed: -8)
Ant 0 / Chirp 18 / Point 2 (Raw: 243, Parsed: -13)
Ant 0 / Chirp 19 / Point 2 (Raw: 21, Parsed: -11)
Ant 0 / Chirp 20 / Point 2 (Raw: 241, Parsed: -16)
Ant 0 / Chirp 21 / Point 2 (Raw: 18, Parsed: -16)
Ant 0 / Chirp 22 / Point 2 (Raw: 246, Parsed: -19)
Ant 0 / Chirp 23 / Point 2 (Raw: 15, Parsed: -8)
Ant 0 / Chirp 24 / Point 2 (Raw: 237, Parsed: -14)
Ant 0 / Chirp 25 / Point 2 (Raw: 18, Parsed: -17)
Ant 0 / Chirp 26 / Point 2 (Raw: 246, Parsed: -17)
Ant 0 / Chirp 27 / Point 2 (Raw: 22, Parsed: -11)
Ant 0 / Chirp 28 / Point 2 (Raw: 243, Parsed: -13)
Ant 0 / Chirp 29 / Point 2 (Raw: 22, Parsed: -14)
Ant 0 / Chirp 30 / Point 2 (Raw: 236, Parsed: -17)
Ant 0 / Chirp 31 / Point 2 (Raw: 23, Parsed: -14)
Ant 0 / Chirp 32 / Point 2 (Raw: 241, Parsed: -19)
Ant 0 / Chirp 33 / Point 2 (Raw: 13, Parsed: -14)
Ant 0 / Chirp 34 / Point 2 (Raw: 248, Parsed: -18)
Ant 0 / Chirp 35 / Point 2 (Raw: 23, Parsed: -18)
Ant 0 / Chirp 36 / Point 2 (Raw: 243, Parsed: -14)
Ant 0 / Chirp 37 / Point 2 (Raw: 11, Parsed: -14)
Ant 0 / Chirp 38 / Point 2 (Raw: 245, Parsed: -15)
Ant 0 / Chirp 39 / Point 2 (Raw: 10, Parsed: -5)
Ant 0 / Chirp 40 / Point 2 (Raw: 240, Parsed: -14)
Ant 0 / Chirp 41 / Point 2 (Raw: 19, Parsed: -25)
